cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,replicate_bottle,replicate_chl,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,k_dil,k_wsw_NoN,k_wsw_N
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,65%,>0&<200,a,a,0.903470781314431,0.787085211947157,0.116385569367274,0.871179487179487,0.128820512820513,1.01111111114733,0.202051282051282,1.12927980317947,0.0485920741468207,1.10731729947448
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,65%,>0&<200,a,b,0.903470781314431,0.787085211947157,0.116385569367274,0.871179487179487,0.128820512820513,1.01111111114733,0.202051282051282,1.20336297676695,0.248180725547212,1.1929005859103
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,65%,>0&<200,a,c,0.903470781314431,0.787085211947157,0.116385569367274,0.871179487179487,0.128820512820513,1.01111111114733,0.202051282051282,1.54666055776227,0.421489091392918,1.20916312259866
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,65%,>0&<200,b,a,0.903470781314431,0.787085211947157,0.116385569367274,0.871179487179487,0.128820512820513,1.01111111114733,0.202051282051282,0.873676879724155,0.456626392131402,0.941141347767402
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,65%,>0&<200,b,b,0.903470781314431,0.787085211947157,0.116385569367274,0.871179487179487,0.128820512820513,1.01111111114733,0.202051282051282,0.878939619348714,0.568908316915596,0.952822255829131
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,65%,>0&<200,b,c,0.903470781314431,0.787085211947157,0.116385569367274,0.871179487179487,0.128820512820513,1.01111111114733,0.202051282051282,1.14832730551293,0.672819945233107,1.41546677516766
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,65%,>0&<200,c,a,0.903470781314431,0.787085211947157,0.116385569367274,0.871179487179487,0.128820512820513,1.01111111114733,0.202051282051282,1.00658129864419,NaN,0.97122941251767
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,65%,>0&<200,c,b,0.903470781314431,0.787085211947157,0.116385569367274,0.871179487179487,0.128820512820513,1.01111111114733,0.202051282051282,1.07999152842168,NaN,1.00042908727389
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,65%,>0&<200,c,c,0.903470781314431,0.787085211947157,0.116385569367274,0.871179487179487,0.128820512820513,1.01111111114733,0.202051282051282,NaN,NaN,NaN
en687,10',16-17',NA',L11,2022-07-31 16:27:05+00:00,2022-07-31 17:30:00+00:00,2022-08-01 17:40:00+00:00,39.782305,-70.89218,22.9405,20.68875,2,17.5971134020619,0.386430059058432,15%,>0&<200,a,a,0.556445337619811,0.480924446668913,0.0755208909508986,0.864279766860949,0.135720233139051,1.00694444449618,0.176353039134055,0.668475706245303,0.364055888257231,0.191756066969538
en687,10',16-17',NA',L11,2022-07-31 16:27:05+00:00,2022-07-31 17:30:00+00:00,2022-08-01 17:40:00+00:00,39.782305,-70.89218,22.9405,20.68875,2,17.5971134020619,0.386430059058432,15%,>0&<200,a,b,0.556445337619811,0.480924446668913,0.0755208909508986,0.864279766860949,0.135720233139051,1.00694444449618,0.176353039134055,0.510112035250834,0.343206204730989,NaN
en687,10',16-17',NA',L11,2022-07-31 16:27:05+00:00,2022-07-31 17:30:00+00:00,2022-08-01 17:40:00+00:00,39.782305,-70.89218,22.9405,20.68875,2,17.5971134020619,0.386430059058432,15%,>0&<200,a,c,0.556445337619811,0.480924446668913,0.0755208909508986,0.864279766860949,0.135720233139051,1.00694444449618,0.176353039134055,0.612386609702614,0.49889903364923,0.391191550431945
en687,10',16-17',NA',L11,2022-07-31 16:27:05+00:00,2022-07-31 17:30:00+00:00,2022-08-01 17:40:00+00:00,39.782305,-70.89218,22.9405,20.68875,2,17.5971134020619,0.386430059058432,15%,>0&<200,b,a,0.556445337619811,0.480924446668913,0.0755208909508986,0.864279766860949,0.135720233139051,1.00694444449618,0.176353039134055,NaN,0.199902982618824,0.106385367918484
